,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,['rap'],2016,0,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
1,Say You Won't Let Go,James Arthur,0p6RzKrGeXzyYYd2RZPKd8,"['pop', 'post-teen pop', 'talent show', 'uk pop']",2016,0,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
2,Starboy,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,0,0.141,0.678,230453,0.588,6.35e-06,7,0.137,-7.015,1,0.276,186.005,4,0.486
3,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",2016,0,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
4,Devil Eyes,Hippie Sabotage,7MiZjKawmXTsTNePyTfPyL,['edm'],2016,0,0.702,0.391,131272,0.396,0.405,1,0.315,-8.621,0,0.189,99.112,5,0.199
5,Kvish Hachof,Static & Ben El,71Fr6FjccDocFjtsBmQHgk,"['israeli pop', 'jewish pop']",2016,0,0.157,0.736,193856,0.811,0.0,10,0.144,-4.525,1,0.0633,92.995,4,0.743
6,Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0,0.0285,0.573,230227,0.739,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451
7,Redbone,Childish Gambino,0wXuerDYiBnERgIpbb3JBR,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",2016,0,0.167,0.743,326933,0.347,0.00951,1,0.103,-11.174,1,0.121,160.143,4,0.572
8,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,"['modern rock', 'rock']",2016,0,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
9,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,2QEUeChc4xJYVQO74hXcrW,['israeli pop'],2016,0,0.0136,0.694,183564,0.765,0.0,4,0.154,-7.078,0,0.0297,100.985,4,0.577
10,Congratulations,Post Malone,3a1lNhkSLSkpJE4MSHpDu9,"['dfw rap', 'melodic rap', 'rap']",2016,0,0.215,0.63,220293,0.804,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.492
11,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",2016,0,0.153,0.774,219147,0.753,0.0,4,0.0371,-5.445,0,0.0517,119.002,4,0.896
12,Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,0,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732
13,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,"['danish pop', 'pop', 'scandipop']",2016,0,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,1,0.0514,119.992,4,0.34
14,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2016,0,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
15,One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,0,0.00776,0.792,173987,0.625,0.00188,1,0.329,-5.609,1,0.0536,103.967,4,0.37
16,Into You,Ariana Grande,2meEiZKWkiN28gITzFwQo5,"['dance pop', 'pop', 'post-teen pop']",2016,0,0.0162,0.623,244453,0.734,1.9e-06,9,0.145,-5.95,1,0.107,107.853,4,0.372
17,Ad Hamidbar,DJ Only,7jdvibTKMCbIP2B77ayD8Q,['israeli pop'],2016,0,0.462,0.657,204696,0.876,0.0,0,0.0787,-3.976,0,0.0755,104.971,4,0.561
18,Act III: The Reason,Dennis Lloyd,3HIIJAt82X8huRUu5eC7lh,['israeli pop'],2016,0,0.188,0.774,194535,0.782,0.0,10,0.0903,-1.434,0,0.0492,95.043,4,0.58
19,All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,"['pop', 'pop rap']",2016,0,0.0584,0.617,217603,0.567,0.0,0,0.0933,-4.188,1,0.0828,90.246,4,0.505
20,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,"['pop', 'post-teen pop']",2016,0,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
21,Love On The Brain,Rihanna,5oO3drDxtziYU2H1X23ZIp,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2016,0,0.0717,0.509,224000,0.637,1.08e-05,4,0.0789,-4.83,0,0.0471,172.006,3,0.378
22,Silsulim,Static & Ben El,1g0IBPZTRP7VYkctJ4Qafg,"['israeli pop', 'jewish pop']",2016,0,0.054,0.758,220464,0.869,0.0,6,0.0954,-2.947,0,0.0347,95.011,4,0.371
23,We Don't Talk Anymore,Charlie Puth,06KyNuuMOX1ROXRhj787tj,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,0,0.621,0.728,217707,0.563,0.0,1,0.179,-8.053,0,0.134,100.017,4,0.352
24,Way Down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",2016,0,0.579,0.489,213707,0.505,0.000333,10,0.104,-8.022,0,0.117,163.255,4,0.337
25,Lost on You,LP,4oIRvB5YFuh4N7xFK5AEPh,['la pop'],2016,0,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
26,hate u love u,Olivia O'Brien,6ATgDc6e4sPn84hvJsAmPt,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0,0.661,0.407,175467,0.416,0.0,6,0.0981,-8.916,0,0.175,179.947,4,0.244
27,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",2016,0,0.109,0.501,195707,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
28,Think About It,Dennis Lloyd,4Yubb5GQW1aT9Zcb5ykOkh,['israeli pop'],2016,0,0.564,0.478,191688,0.509,0.00181,4,0.228,-9.252,1,0.2,143.7,4,0.0599
