,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4,Devil Eyes,Hippie Sabotage,7MiZjKawmXTsTNePyTfPyL,['edm'],2016,0,0.702,0.391,131272,0.396,0.405,1,0.315,-8.621,0,0.189,99.112,5,0.199
5,Kvish Hachof,Static & Ben El,71Fr6FjccDocFjtsBmQHgk,"['israeli pop', 'jewish pop']",2016,0,0.157,0.736,193856,0.811,0.0,10,0.144,-4.525,1,0.0633,92.995,4,0.743
9,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,2QEUeChc4xJYVQO74hXcrW,['israeli pop'],2016,0,0.0136,0.694,183564,0.765,0.0,4,0.154,-7.078,0,0.0297,100.985,4,0.577
17,Ad Hamidbar,DJ Only,7jdvibTKMCbIP2B77ayD8Q,['israeli pop'],2016,0,0.462,0.657,204696,0.876,0.0,0,0.0787,-3.976,0,0.0755,104.971,4,0.561
21,Act III: The Reason,Dennis Lloyd,3HIIJAt82X8huRUu5eC7lh,['israeli pop'],2016,0,0.188,0.774,194535,0.782,0.0,10,0.0903,-1.434,0,0.0492,95.043,4,0.58
23,Silsulim,Static & Ben El,1g0IBPZTRP7VYkctJ4Qafg,"['israeli pop', 'jewish pop']",2016,0,0.054,0.758,220464,0.869,0.0,6,0.0954,-2.947,0,0.0347,95.011,4,0.371
25,Lost on You,LP,4oIRvB5YFuh4N7xFK5AEPh,['la pop'],2016,0,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
26,Way Down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",2016,0,0.579,0.489,213707,0.505,0.000333,10,0.104,-8.022,0,0.117,163.255,4,0.337
27,hate u love u,Olivia O'Brien,6ATgDc6e4sPn84hvJsAmPt,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0,0.661,0.407,175467,0.416,0.0,6,0.0981,-8.916,0,0.175,179.947,4,0.244
28,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",2016,0,0.109,0.501,195707,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
