,Title_x,Artist_x,id,artist_genres_x,Year_x,is_top100_x,acousticness_x,danceability_x,duration_ms_x,energy_x,instrumentalness_x,key_x,liveness_x,loudness_x,mode_x,speechiness_x,tempo_x,time_signature_x,valence_x,Title_y,Artist_y,artist_genres_y,Year_y,is_top100_y,acousticness_y,danceability_y,duration_ms_y,energy_y,instrumentalness_y,key_y,liveness_y,loudness_y,mode_y,speechiness_y,tempo_y,time_signature_y,valence_y
0,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,['rap'],2016,0.0,0.0847,0.841,243837.0,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,0.43,goosebumps,Travis Scott,['rap'],2017,1.0,0.0847,0.841,243837.0,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,0.43
1,Say You Won't Let Go,James Arthur,0p6RzKrGeXzyYYd2RZPKd8,"['pop', 'post-teen pop', 'talent show', 'uk pop']",2016,0.0,0.695,0.358,211467.0,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,4.0,0.494,,,,,,,,,,,,,,,,,,
2,Starboy,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,0.0,0.141,0.678,230453.0,0.588,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.005,4.0,0.486,,,,,,,,,,,,,,,,,,
3,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",2016,0.0,0.414,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661,Closer,The Chainsmokers,"['electropop', 'pop', 'tropical house']",2016,1.0,0.414,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661
4,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",2016,0.0,0.414,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661,Closer,The Chainsmokers,"['electropop', 'pop', 'tropical house']",2017,1.0,0.414,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.661
5,Devil Eyes,Hippie Sabotage,7MiZjKawmXTsTNePyTfPyL,['edm'],2016,0.0,0.702,0.391,131272.0,0.396,0.405,1.0,0.315,-8.621,0.0,0.189,99.112,5.0,0.199,,,,,,,,,,,,,,,,,,
6,Kvish Hachof,Static & Ben El,71Fr6FjccDocFjtsBmQHgk,"['israeli pop', 'jewish pop']",2016,0.0,0.157,0.736,193856.0,0.811,0.0,10.0,0.144,-4.525,1.0,0.0633,92.995,4.0,0.743,,,,,,,,,,,,,,,,,,
7,Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0.0,0.0285,0.573,230227.0,0.739,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,0.451,Scars To Your Beautiful,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2017,1.0,0.0285,0.573,230227.0,0.739,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,0.451
8,Redbone,Childish Gambino,0wXuerDYiBnERgIpbb3JBR,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",2016,0.0,0.167,0.743,326933.0,0.347,0.00951,1.0,0.103,-11.174,1.0,0.121,160.143,4.0,0.572,,,,,,,,,,,,,,,,,,
9,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,"['modern rock', 'rock']",2016,0.0,0.0841,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,0.548,Heathens,Twenty One Pilots,"['modern rock', 'rock']",2016,1.0,0.0841,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,0.548
10,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,"['modern rock', 'rock']",2016,0.0,0.0841,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,0.548,Heathens,Twenty One Pilots,"['modern rock', 'rock']",2017,1.0,0.0841,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,0.548
11,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,2QEUeChc4xJYVQO74hXcrW,['israeli pop'],2016,0.0,0.0136,0.694,183564.0,0.765,0.0,4.0,0.154,-7.078,0.0,0.0297,100.985,4.0,0.577,,,,,,,,,,,,,,,,,,
12,Congratulations,Post Malone,3a1lNhkSLSkpJE4MSHpDu9,"['dfw rap', 'melodic rap', 'rap']",2016,0.0,0.215,0.63,220293.0,0.804,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,0.492,,,,,,,,,,,,,,,,,,
13,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",2016,0.0,0.153,0.774,219147.0,0.753,0.0,4.0,0.0371,-5.445,0.0,0.0517,119.002,4.0,0.896,,,,,,,,,,,,,,,,,,
14,Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,0.0,0.0472,0.628,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,0.732,Cheap Thrills,Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,1.0,0.0472,0.628,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,0.732
15,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,"['danish pop', 'pop', 'scandipop']",2016,0.0,0.287,0.765,237300.0,0.473,0.0,10.0,0.391,-5.829,1.0,0.0514,119.992,4.0,0.34,7 Years,Lukas Graham,"['danish pop', 'pop', 'scandipop']",2016,1.0,0.287,0.765,237300.0,0.473,0.0,10.0,0.391,-5.829,1.0,0.0514,119.992,4.0,0.34
16,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2016,0.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"['dance pop', 'pop']",2016,1.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701
17,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",2016,0.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"['dance pop', 'pop']",2017,1.0,0.0123,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,0.701
18,One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,0.0,0.00776,0.792,173987.0,0.625,0.00188,1.0,0.329,-5.609,1.0,0.0536,103.967,4.0,0.37,,,,,,,,,,,,,,,,,,
