Title,Artist,id,artist_genres,is_single,total_tracks,release_date,day_of_week,release_season,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,words_count,stopwords_count,blobs_polarity,words_neg_count,words_pos_count,words_curse_count,avg_most_common_words_size,words_repeat_count,words_negative_pct,words_positive_pct,words_curse_pct,words_repeat_pct,stopwords_pct
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT,"['canadian pop', 'pop', 'post-teen pop']",1,19,2015-11-13,5,3,2015,1,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515,2057.0,160,0,648,350,0,5.08,179,31.5,17.02,0.0,8.7,7.78
Sorry,Justin Bieber,69bp2EbF7Q2rqc5N3ylezZ,"['canadian pop', 'pop', 'post-teen pop']",1,19,2015-11-13,5,3,2015,1,0.0797,0.654,200787,0.76,0.0,0,0.299,-3.669,0,0.045,99.945,4,0.41,1479.0,122,-1,1104,600,0,5.34,117,74.65,40.57,0.0,7.91,8.25
One Dance,Drake,1xznGGDReH1oQq0xzbwXa3,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,20,2016-05-06,5,1,2016,1,0.00784,0.7909999999999999,173987,0.619,0.004229999999999999,1,0.35100000000000003,-5.886,1,0.0532,103.989,4,0.371,1773.0,129,0,384,525,0,4.98,184,21.66,29.61,0.0,10.38,7.28
Work,Rihanna,14WWzenpaEgQZlqPq2nk4v,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1,16,2016-01-28,4,4,2016,1,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.5579999999999999,2704.0,129,0,816,450,1,5.36,307,30.18,16.64,0.04,11.35,4.77
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,"['modern rock', 'rock']",1,14,2015-05-15,5,1,2015,1,0.0462,0.7340000000000001,202333,0.637,2.29e-05,4,0.0602,-5.6770000000000005,0,0.141,169.977,4,0.648,2494.0,184,0,336,525,0,5.29,265,13.47,21.05,0.0,10.63,7.38
Panda,Desiigner,5OOkp4U9P9oL23maHFHL1h,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",1,14,2016-06-26,7,2,2016,1,0.028,0.5760000000000001,246761,0.7659999999999999,1.68e-06,10,0.366,-4.9430000000000005,0,0.449,144.833,4,0.236,3278.0,157,0,600,200,24,5.42,362,18.3,6.1,0.73,11.04,4.79
Hello,Adele,0ENSn4fwAbCGeFGVUbXEU3,"['british soul', 'pop', 'uk pop']",0,1,2015-10-23,5,3,2015,1,0.336,0.481,295493,0.451,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,0.289,1592.0,116,0,312,200,9,5.51,142,19.6,12.56,0.57,8.92,7.29
Dont Let Me Down,The Chainsmokers,1i1fxkWeaMmKEB4T7zqbzK,"['electropop', 'pop', 'tropical house']",0,1,2016-02-05,5,4,2016,1,0.157,0.532,208373,0.8690000000000001,0.00508,11,0.136,-5.0939999999999985,1,0.172,159.803,4,0.422,1568.0,116,0,288,400,0,5.27,150,18.37,25.51,0.0,9.57,7.4
CANT STOP THE FEELING,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",0,1,2016-05-06,5,1,2016,1,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,2538.0,170,1,480,850,0,5.42,252,18.91,33.49,0.0,9.93,6.7
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",0,1,2016-07-29,5,2,2016,1,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.6609999999999999,1770.0,96,0,840,425,0,5.03,196,47.46,24.01,0.0,11.07,5.42
Cheap Thrills,Sia,27SdWb2rFzO6GWiYDBTD9j,"['australian dance', 'australian pop', 'dance pop', 'pop']",1,12,2016-01-29,5,4,2016,1,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732,1572.0,67,0,552,375,0,4.86,173,35.11,23.85,0.0,11.01,4.26
7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,"['danish pop', 'pop', 'scandipop']",1,11,2016-04-01,5,1,2016,1,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,1,0.0514,119.992,4,0.34,2059.0,142,0,1032,300,0,5.54,187,50.12,14.57,0.0,9.08,6.9
Needed Me,Rihanna,3kfxarilcBr81mb2hmZLeh,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1,13,2016-01-28,4,4,2016,1,0.11,0.6709999999999999,191600,0.314,0.0,5,0.0825,-8.091000000000001,0,0.244,110.898,4,0.29600000000000004,1355.0,113,0,504,275,14,5.19,118,37.2,20.3,1.03,8.71,8.34
My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap', 'post-teen pop']",1,7,2015-04-07,2,1,2015,1,0.0215,0.688,192191,0.7020000000000001,0.0,7,0.128,-4.792,0,0.0499,94.006,4,0.74,1664.0,133,1,456,825,2,5.09,167,27.4,49.58,0.12,10.04,7.99
I Took A Pill In Ibiza,Mike Posner,1PiKcVhlmHPvL7IPjx9dJk,"['dance pop', 'pop', 'pop rap']",1,18,2016-05-06,5,1,2016,1,0.618,0.636,280800,0.319,1.7e-06,10,0.125,-10.065,1,0.0718,74.109,4,0.378,1950.0,122,0,1008,675,1,5.34,200,51.69,34.62,0.05,10.26,6.26
Work from Home,Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",1,12,2016-05-27,5,1,2016,1,0.103,0.8029999999999999,214480,0.585,3.94e-06,8,0.0644,-5.8610000000000015,1,0.0432,105.017,4,0.593,1994.0,113,0,240,175,0,5.28,234,12.04,8.78,0.0,11.74,5.67
This Is What You Came For,Calvin Harris,0azC730Exh71aQlOt9Zj3y,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",0,1,2016-04-29,5,1,2016,1,0.199,0.63,222160,0.928,0.124,9,0.14800000000000002,-2.787,0,0.0331,123.963,4,0.465,1207.0,46,0,72,150,0,5.5,60,5.97,12.43,0.0,4.97,3.81
Cake By The Ocean,DNCE,2aFiaMXmWsM3Vj72F9ksBl,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",1,14,2016-11-18,5,3,2016,1,0.156,0.774,219147,0.764,0.0,4,0.0383,-5.445,0,0.0518,118.997,4,0.912,2012.0,126,0,624,450,8,5.64,215,31.01,22.37,0.4,10.69,6.26
Me Myself & I,G-Eazy,40YcuQysJ0KlGQTeGUosTC,"['indie pop rap', 'pop rap', 'rap']",1,17,2015-12-04,5,4,2015,1,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.996,4,0.382,3150.0,231,0,1032,800,8,5.4,314,32.76,25.4,0.25,9.97,7.33
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,"['modern rock', 'rock']",1,14,2015-05-15,5,1,2015,1,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.98899999999998,4,0.5660000000000001,1987.0,137,0,336,200,0,5.41,159,16.91,10.07,0.0,8.0,6.89
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,"['modern rock', 'rock']",0,1,2016-06-16,4,2,2016,1,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.5479999999999999,1686.0,131,0,264,400,0,5.37,163,15.66,23.72,0.0,9.67,7.77
